Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,15,2,2,58,15,43,47,2.47,44.8,12.3,32.5,1.71,19,14,4,1,41,11,30,46,2.42,44.2,14.9,29.3,1.54
2,Liverpool,19,15,4,0,49,9,40,49,2.58,48.6,13.1,35.4,1.87,19,13,4,2,45,17,28,43,2.26,40.7,21.1,19.5,1.03
3,Chelsea,19,9,7,3,37,22,15,34,1.79,35.5,19.7,15.8,0.83,19,12,4,3,39,11,28,40,2.11,31.8,16.3,15.5,0.81
4,Tottenham,19,13,1,5,38,19,19,40,2.11,35.7,19.2,16.6,0.87,19,9,4,6,31,21,10,31,1.63,29.4,20.2,9.2,0.49
5,Arsenal,19,13,2,4,35,17,18,41,2.16,35.8,17.8,18.0,0.95,19,9,1,9,26,31,-5,28,1.47,24.1,29.3,-5.2,-0.28
6,Manchester Utd,19,10,5,4,32,22,10,35,1.84,30.0,22.3,7.7,0.4,19,6,5,8,25,35,-10,23,1.21,24.8,32.2,-7.4,-0.39
7,West Ham,19,9,5,5,33,26,7,32,1.68,27.6,21.4,6.2,0.33,19,7,3,9,27,25,2,24,1.26,22.3,29.6,-7.3,-0.38
8,Leicester City,19,10,4,5,34,23,11,34,1.79,28.7,29.6,-0.8,-0.04,19,4,6,9,28,36,-8,18,0.95,22.1,31.4,-9.3,-0.49
9,Brighton,19,5,7,7,19,23,-4,22,1.16,26.3,21.8,4.5,0.24,19,7,8,4,23,21,2,29,1.53,19.7,23.8,-4.1,-0.22
10,Wolves,19,7,3,9,20,25,-5,24,1.26,17.7,30.0,-12.3,-0.65,19,8,3,8,18,18,0,27,1.42,18.2,30.3,-12.0,-0.63
11,Newcastle Utd,19,8,6,5,26,27,-1,30,1.58,22.2,27.0,-4.7,-0.25,19,5,4,10,18,35,-17,19,1.0,18.0,28.5,-10.5,-0.55
12,Crystal Palace,19,7,8,4,27,17,10,29,1.53,27.5,17.3,10.2,0.54,19,4,7,8,23,29,-6,19,1.0,18.8,23.6,-4.8,-0.25
13,Brentford,19,7,3,9,22,21,1,24,1.26,26.7,19.9,6.8,0.36,19,6,4,9,26,35,-9,22,1.16,21.2,29.2,-8.0,-0.42
14,Aston Villa,19,6,5,8,29,29,0,23,1.21,24.1,24.7,-0.6,-0.03,19,7,1,11,23,25,-2,22,1.16,19.9,24.4,-4.5,-0.24
15,Southampton,19,6,7,6,23,24,-1,25,1.32,22.6,23.7,-1.1,-0.06,19,3,6,10,20,43,-23,15,0.79,24.2,35.0,-10.8,-0.57
16,Everton,19,9,2,8,27,25,2,29,1.53,23.8,23.2,0.5,0.03,19,2,4,13,16,41,-25,10,0.53,19.0,31.3,-12.3,-0.65
17,Leeds United,19,4,6,9,19,38,-19,18,0.95,26.2,33.1,-6.9,-0.36,19,5,5,9,23,41,-18,20,1.05,20.9,37.0,-16.1,-0.85
18,Burnley,19,5,6,8,18,25,-7,21,1.11,21.2,26.4,-5.3,-0.28,19,2,8,9,16,28,-12,14,0.74,17.8,30.2,-12.5,-0.66
19,Watford,19,2,2,15,17,46,-29,8,0.42,19.0,34.9,-15.9,-0.83,19,4,3,12,17,31,-14,15,0.79,19.8,31.7,-11.9,-0.63
20,Norwich City,19,3,3,13,12,43,-31,12,0.63,16.9,36.1,-19.2,-1.01,19,2,4,13,11,41,-30,10,0.53,16.4,40.9,-24.5,-1.29
