Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
vs Arsenal,27,38.0,14059,17565,80.0,272997,88223,5722,6462,88.5,6131,7041,87.1,1953,3449,56.6,33,32.9,0.1,305,934,267,66,959
vs Aston Villa,31,38.0,15076,18703,80.6,306751,95550,5621,6389,88.0,6749,7756,87.0,2451,3858,63.5,35,32.4,2.6,340,1065,289,67,1155
vs Brentford,29,38.0,15701,19850,79.1,299072,95185,6740,7671,87.9,6470,7524,86.0,2188,3902,56.1,41,32.3,8.7,338,1257,358,98,1274
vs Brighton,26,38.0,13153,16912,77.8,252716,85692,5546,6367,87.1,5514,6506,84.8,1857,3336,55.7,34,30.5,3.5,332,905,266,60,1027
vs Burnley,23,38.0,16712,21053,79.4,317456,99144,7213,8212,87.8,7013,8147,86.1,2198,3931,55.9,36,39.4,-3.4,453,1131,414,91,1363
vs Chelsea,26,38.0,11476,15035,76.3,222348,77791,4856,5641,86.1,4695,5552,84.6,1674,3144,53.2,20,22.4,-2.4,218,752,230,56,865
vs Crystal Palace,24,38.0,14158,18044,78.5,277464,93040,5831,6693,87.1,5953,6971,85.4,2087,3651,57.2,30,26.8,3.2,297,1169,299,80,1199
vs Everton,33,38.0,17865,21814,81.9,350124,108236,6864,7758,88.5,8188,9244,88.6,2546,3985,63.9,46,37.9,8.1,361,1371,348,84,1442
vs Leeds United,29,38.0,12963,16745,77.4,253005,95559,5365,6205,86.5,5438,6491,83.8,1903,3310,57.5,59,48.1,10.9,424,918,321,74,1107
vs Leicester City,28,38.0,14672,18394,79.8,289650,93362,5799,6615,87.7,6387,7369,86.7,2206,3651,60.4,36,38.7,-2.7,405,1087,354,81,1252
vs Liverpool,27,38.0,10885,14783,73.6,216716,79287,4614,5392,85.6,4311,5298,81.4,1723,3459,49.8,18,27.3,-9.3,227,724,193,52,777
vs Manchester City,26,38.0,9788,12943,75.6,196995,70958,3847,4471,86.0,4282,5041,84.9,1488,2947,50.5,23,21.2,1.8,182,552,162,40,640
vs Manchester Utd,29,38.0,14777,18463,80.0,283572,90679,6204,6966,89.1,6286,7252,86.7,2037,3531,57.7,41,37.8,3.2,356,1043,310,67,1144
vs Newcastle Utd,29,38.0,17135,20831,82.3,326657,99341,7170,7975,89.9,7529,8544,88.1,2181,3644,59.9,43,39.2,3.8,389,1398,354,66,1420
vs Norwich City,28,38.0,17476,21227,82.3,336013,104986,7293,8112,89.9,7426,8498,87.4,2462,3875,63.5,57,50.1,6.9,442,1412,405,82,1461
vs Southampton,25,38.0,14280,18400,77.6,281877,99068,5784,6777,85.3,6118,7247,84.4,2115,3644,58.0,47,43.0,4.0,359,1088,351,83,1285
vs Tottenham,25,38.0,15273,18739,81.5,305207,89219,5721,6440,88.8,6940,7842,88.5,2352,3790,62.1,29,28.2,0.8,356,1117,286,63,1113
vs Watford,30,38.0,17236,21404,80.5,340357,106707,6774,7774,87.1,7567,8710,86.9,2586,4161,62.1,56,48.0,8.0,410,1370,400,98,1524
vs West Ham,25,38.0,16072,19756,81.4,307473,97173,6548,7312,89.6,7145,8199,87.1,2112,3551,59.5,38,34.0,4.0,403,1199,365,84,1273
vs Wolves,26,38.0,15601,19230,81.1,295609,95446,6545,7296,89.7,6748,7783,86.7,2032,3405,59.7,23,38.4,-15.4,362,1114,323,73,1303
