Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
vs Arsenal,27,38.0,17565,15858,1707,402,30,2264,433,408,174,86,51,5,12124,1920,3521,4734,10739,623,744,215,14059,57,306,444,379
vs Aston Villa,31,38.0,18703,16891,1812,425,23,2455,705,432,220,103,66,21,12818,2287,3598,5169,11328,711,814,239,15076,36,332,566,481
vs Brentford,29,38.0,19850,18117,1733,406,35,2596,540,504,229,123,71,9,13113,2479,4258,5737,11624,935,768,229,15701,70,305,559,482
vs Brighton,26,38.0,16912,15185,1727,418,34,2580,468,444,210,103,55,11,11001,2217,3694,4983,9643,804,736,263,13153,34,299,540,480
vs Burnley,23,38.0,21053,19133,1920,472,29,2906,596,557,265,89,80,16,14186,2637,4230,6166,12246,924,843,272,16712,52,345,579,499
vs Chelsea,26,38.0,15035,13326,1709,461,23,2637,378,363,151,63,51,8,9725,2074,3236,4405,8705,563,692,241,11476,62,280,540,448
vs Crystal Palace,24,38.0,18044,16259,1785,451,28,2950,516,420,184,69,98,6,11722,2370,3952,5489,10141,832,823,220,14158,49,314,532,463
vs Everton,33,38.0,21814,19980,1834,400,29,2986,535,459,219,108,61,17,15465,2625,3724,6508,12774,779,854,275,17865,34,318,573,524
vs Leeds United,29,38.0,16745,14848,1897,499,59,3151,396,368,181,82,78,7,10928,2253,3564,4649,9803,679,828,256,12963,47,295,598,454
vs Leicester City,28,38.0,18394,16661,1733,392,37,2716,563,448,215,118,64,11,12424,2244,3726,5218,10933,744,789,259,14672,64,302,515,480
vs Liverpool,27,38.0,14783,13099,1684,409,45,2478,407,309,117,69,37,1,8833,2048,3902,4160,8487,765,675,249,10885,134,318,535,368
vs Manchester City,26,38.0,12943,11429,1514,375,30,1870,321,250,108,48,39,7,8120,1720,3103,3388,7915,544,493,242,9788,89,271,419,328
vs Manchester Utd,29,38.0,18463,16762,1701,461,39,2393,533,420,207,104,67,6,12843,2113,3507,5484,10972,694,664,258,14777,63,311,547,413
vs Newcastle Utd,29,38.0,20831,19109,1722,434,30,2617,566,468,191,88,76,8,14798,2311,3722,5700,12841,741,758,249,17135,54,355,577,414
vs Norwich City,28,38.0,21227,19522,1705,381,43,3064,608,536,251,128,76,8,14996,2533,3698,5933,12975,770,778,275,17476,48,314,615,428
vs Southampton,25,38.0,18400,16625,1775,430,31,3039,461,480,197,113,49,4,11884,2561,3955,5042,10760,890,819,233,14280,54,331,658,471
vs Tottenham,25,38.0,18739,17092,1647,433,21,2471,587,512,192,82,69,14,13440,1916,3383,5592,11234,598,676,230,15273,35,274,532,427
vs Watford,30,38.0,21404,19528,1876,470,38,2924,708,539,234,111,89,9,14782,2553,4069,5983,12847,852,850,261,17236,48,331,646,434
vs West Ham,25,38.0,19756,18145,1611,365,29,2260,509,501,200,109,66,7,13786,2235,3735,5719,11874,778,647,257,16072,29,315,517,395
vs Wolves,26,38.0,19230,17572,1658,394,60,2533,465,473,204,95,74,11,13567,2233,3430,5586,11522,689,746,242,15601,76,251,539,437
