Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
vs Arsenal,27,38.0,630,374,322,225,83,238,550,43.3,312,5543,1433,25.9,2032,2324,1187,548,184,0,364,548,1178,766,8
vs Aston Villa,31,38.0,641,406,318,241,82,198,502,39.4,304,5132,1533,29.9,1663,2244,1225,517,138,0,379,499,1140,752,7
vs Brentford,29,38.0,541,323,229,239,73,185,436,42.4,251,4660,1498,32.1,1386,1984,1290,593,145,8,448,581,1122,910,11
vs Brighton,26,38.0,669,383,343,238,88,214,574,37.3,360,6013,1678,27.9,2243,2395,1375,677,161,5,516,654,1323,801,5
vs Burnley,23,38.0,522,306,247,208,67,193,476,40.5,283,4517,1411,31.2,1572,1994,951,573,118,3,455,455,977,1051,11
vs Chelsea,26,38.0,698,440,353,267,78,221,610,36.2,389,6945,1796,25.9,2396,3000,1549,632,195,1,437,646,1344,782,9
vs Crystal Palace,24,38.0,833,487,376,344,113,269,651,41.3,382,6270,1844,29.4,1873,2827,1570,556,125,0,431,580,1413,712,13
vs Everton,33,38.0,662,368,311,257,94,230,571,40.3,341,5260,1675,31.8,1916,2144,1200,602,164,2,438,535,1197,813,8
vs Leeds United,29,38.0,706,416,325,280,101,286,613,46.7,327,5456,1804,33.1,1603,2315,1538,649,168,7,481,670,1376,736,11
vs Leicester City,28,38.0,671,400,280,285,106,228,543,42.0,315,6019,1678,27.9,1731,2778,1510,601,131,1,470,644,1315,669,11
vs Liverpool,27,38.0,699,413,437,214,48,253,645,39.2,392,6138,1761,28.7,2504,2512,1122,783,234,12,549,735,1434,1001,12
vs Manchester City,26,38.0,701,424,430,222,49,259,674,38.4,415,6480,1422,21.9,2799,2612,1069,704,232,6,472,597,1298,791,16
vs Manchester Utd,29,38.0,663,418,315,239,109,250,632,39.6,382,5709,1738,30.4,1838,2476,1395,603,161,4,442,691,1354,636,9
vs Newcastle Utd,29,38.0,691,413,329,270,92,230,595,38.7,365,5104,1617,31.7,1785,2101,1218,507,143,2,364,429,1120,747,6
vs Norwich City,28,38.0,646,372,303,236,107,259,576,45.0,317,5123,1529,29.8,1521,2082,1520,523,128,1,395,540,1186,636,7
vs Southampton,25,38.0,718,421,354,266,98,250,610,41.0,360,5839,1746,29.9,1923,2545,1371,611,158,4,453,528,1246,926,8
vs Tottenham,25,38.0,694,421,286,293,115,234,611,38.3,377,5733,1651,28.8,1736,2534,1463,614,152,7,462,610,1304,650,8
vs Watford,30,38.0,779,480,342,321,116,312,727,42.9,415,5222,1797,34.4,1666,2236,1320,523,109,1,414,478,1257,746,11
vs West Ham,25,38.0,611,358,328,207,76,228,495,46.1,267,5078,1465,28.8,1809,2115,1154,586,152,9,434,492,1103,819,11
vs Wolves,26,38.0,719,429,328,300,91,302,749,40.3,447,5529,1649,29.8,1616,2482,1431,518,117,2,401,584,1303,624,11
