Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
vs Arsenal,27,46.8,38.0,21703,2879,7853,9624,5407,805,20030,215,423,50.8,238,11,13790,65828,33893,1361,439,138,434,390,16353,14059,86.0,959
vs Aston Villa,31,53.5,38.0,22987,2535,8093,10379,5946,932,21213,313,595,52.6,344,32,14474,75163,41591,1565,483,206,432,436,17707,15076,85.1,1155
vs Brentford,29,55.5,38.0,24421,2416,7135,11462,7226,945,22730,319,602,53.0,345,28,15800,77427,39365,1791,620,170,490,436,18636,15701,84.3,1274
vs Brighton,26,45.3,38.0,21563,2545,8014,8997,5816,908,19875,301,571,52.7,327,26,13020,66607,35758,1400,444,191,449,481,15643,13153,84.1,1027
vs Burnley,23,60.2,38.0,25619,2653,8685,11417,7046,1196,23729,307,553,55.5,332,42,16306,86977,48420,1992,551,268,438,408,19564,16712,85.4,1363
vs Chelsea,26,37.7,38.0,19453,2892,7425,8427,4701,681,17779,302,537,56.2,322,39,11362,56308,29167,1097,334,117,441,446,14111,11476,81.3,865
vs Crystal Palace,24,49.1,38.0,22636,2376,7178,10625,6145,869,20897,275,525,52.4,299,31,13725,69398,36704,1474,423,129,545,465,16843,14158,84.1,1199
vs Everton,33,60.3,38.0,26514,2511,8396,12811,6949,1006,24708,377,715,52.7,410,37,16985,84594,47180,1896,573,159,499,475,20627,17865,86.6,1442
vs Leeds United,29,47.5,38.0,21690,2528,7470,9760,5857,1049,19840,456,872,52.3,498,55,13079,72616,39504,1481,462,202,494,485,15791,12963,82.1,1107
vs Leicester City,28,47.9,38.0,22938,2395,7335,10627,6399,1124,21252,365,665,54.9,401,31,14477,74418,40146,1645,527,195,451,487,17205,14672,85.3,1252
vs Liverpool,27,36.7,38.0,19574,3514,8893,7864,3743,609,17919,325,555,58.6,355,27,10981,52053,27306,912,254,123,488,394,13832,10885,78.7,777
vs Manchester City,26,31.5,38.0,17055,3650,8328,6665,2919,516,15591,257,479,53.7,292,24,9476,47040,23939,779,230,96,399,323,12055,9788,81.2,640
vs Manchester Utd,29,47.1,38.0,22830,2681,7403,10728,5973,906,21169,300,554,54.2,324,30,14218,71007,38357,1528,459,157,443,402,17606,14777,83.9,1144
vs Newcastle Utd,29,60.1,38.0,25195,2364,7506,12234,7136,1033,23515,336,628,53.5,368,33,16319,85373,47881,1987,603,182,442,447,19874,17135,86.2,1420
vs Norwich City,28,57.5,38.0,25466,2173,7305,12065,7725,1295,23805,359,644,55.7,387,37,16774,87056,47977,2043,557,247,436,422,20108,17476,86.9,1461
vs Southampton,25,52.1,38.0,23128,2714,7938,10189,6227,975,21396,336,586,57.3,366,39,13985,69525,36519,1466,446,162,513,446,17195,14280,83.0,1285
vs Tottenham,25,48.0,38.0,23155,2464,7100,10880,6532,951,21558,308,571,53.9,335,37,15322,73346,37980,1618,472,167,404,457,17530,15273,87.1,1113
vs Watford,30,59.7,38.0,25963,2202,7881,12655,7013,1153,24123,313,601,52.1,347,28,16862,83420,46354,1906,547,178,449,440,20040,17236,86.0,1524
vs West Ham,25,52.2,38.0,24088,2644,7914,11006,6752,1092,22507,313,563,55.6,344,31,15680,85760,48111,1966,610,211,439,339,18614,16072,86.3,1273
vs Wolves,26,50.4,38.0,23571,2244,7079,11615,6403,1002,21946,333,622,53.5,367,34,15136,79668,43404,1810,524,191,429,480,18232,15601,85.6,1303
