Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Arsenal,27,26.9,38,3420,90,100,38.0,418,84,309,107,21,235,1.82,48,61,-13,-0.34,47.1,59.9,-12.8,-0.34
vs Aston Villa,31,26.7,38,3420,90,100,38.0,418,85,311,108,20,232,1.18,54,52,2,0.05,49.1,44.0,5.1,0.13
vs Brentford,29,26.8,38,3420,90,100,38.0,418,86,326,90,19,250,1.21,56,48,8,0.21,49.1,47.8,1.3,0.03
vs Brighton,26,26.9,38,3420,90,100,38.0,418,85,311,108,20,231,1.34,44,42,2,0.05,45.6,46.0,-0.4,-0.01
vs Burnley,23,26.7,38,3420,90,100,38.0,418,86,322,96,18,245,0.92,53,34,19,0.5,56.7,39.0,17.7,0.47
vs Chelsea,26,26.7,38,3420,90,100,38.0,418,85,305,109,20,230,1.95,33,76,-43,-1.13,36.0,67.2,-31.3,-0.82
vs Crystal Palace,24,26.8,38,3420,90,100,38.0,418,84,310,106,21,235,1.26,46,50,-4,-0.11,41.0,46.4,-5.4,-0.14
vs Everton,33,26.8,38,3420,90,100,38.0,418,85,308,111,19,230,1.03,66,43,23,0.61,54.5,42.8,11.7,0.31
vs Leeds United,29,26.9,38,3420,90,100,38.0,418,85,302,114,17,228,1.0,79,42,37,0.97,70.1,47.2,23.0,0.6
vs Leicester City,28,26.8,38,3420,90,100,38.0,418,85,310,108,21,233,1.37,59,62,-3,-0.08,61.0,50.8,10.1,0.27
vs Liverpool,27,26.7,38,3420,90,100,38.0,418,84,311,107,23,235,2.42,26,94,-68,-1.79,34.3,89.2,-55.0,-1.45
vs Manchester City,26,26.9,38,3420,90,100,38.0,418,84,304,111,23,227,2.45,26,99,-73,-1.92,27.2,89.0,-61.9,-1.63
vs Manchester Utd,29,27.0,38,3420,90,100,38.0,418,85,314,103,19,236,1.53,57,57,0,0.0,54.5,54.8,-0.3,-0.01
vs Newcastle Utd,29,26.8,38,3420,90,100,38.0,418,84,306,109,21,233,1.29,62,44,18,0.47,55.4,40.3,15.2,0.4
vs Norwich City,28,26.8,38,3420,90,100,38.0,418,84,307,110,21,228,0.58,84,23,61,1.61,77.0,33.3,43.6,1.15
vs Southampton,25,26.8,38,3420,90,100,38.0,418,85,308,109,19,233,1.05,67,43,24,0.63,58.6,46.8,11.9,0.31
vs Tottenham,25,26.8,38,3420,90,100,38.0,418,85,309,105,18,235,1.87,40,69,-29,-0.76,39.4,65.1,-25.8,-0.68
vs Watford,30,26.8,38,3420,90,100,38.0,418,85,315,103,19,238,0.61,77,34,43,1.13,66.6,38.8,27.8,0.73
vs West Ham,25,26.8,38,3420,90,100,38.0,418,85,316,100,21,237,1.47,51,60,-9,-0.24,51.0,49.9,1.1,0.03
vs Wolves,26,26.7,38,3420,90,100,38.0,418,84,306,111,23,226,1.34,43,38,5,0.13,60.3,35.9,24.4,0.64
