Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
vs Arsenal,27,26.9,46.8,38,418,3420,38.0,47,33,42,5,6,69,3,1.24,0.87,2.11,1.11,1.97,47.1,42.6,32.9,75.5,1.24,0.87,2.11,1.12,1.99
vs Aston Villa,31,26.7,53.5,38,418,3420,38.0,52,35,48,4,6,83,1,1.37,0.92,2.29,1.26,2.18,49.1,44.5,32.4,76.9,1.29,0.85,2.14,1.17,2.02
vs Brentford,29,26.8,55.5,38,418,3420,38.0,54,41,49,5,5,50,3,1.42,1.08,2.5,1.29,2.37,49.1,45.3,32.3,77.6,1.29,0.85,2.14,1.19,2.04
vs Brighton,26,26.9,45.3,38,418,3420,38.0,44,34,41,3,4,80,0,1.16,0.89,2.05,1.08,1.97,45.6,42.6,30.5,73.1,1.2,0.8,2.0,1.12,1.92
vs Burnley,23,26.7,60.2,38,418,3420,38.0,51,36,46,5,5,44,0,1.34,0.95,2.29,1.21,2.16,56.7,52.9,39.4,92.3,1.49,1.04,2.53,1.39,2.43
vs Chelsea,26,26.7,37.7,38,418,3420,38.0,32,20,26,6,6,69,4,0.84,0.53,1.37,0.68,1.21,36.0,31.9,22.4,54.3,0.95,0.59,1.54,0.84,1.43
vs Crystal Palace,24,26.8,49.1,38,418,3420,38.0,44,30,41,3,4,74,3,1.16,0.79,1.95,1.08,1.87,41.0,38.0,26.8,64.8,1.08,0.71,1.78,1.0,1.7
vs Everton,33,26.8,60.3,38,418,3420,38.0,61,46,59,2,2,72,0,1.61,1.21,2.82,1.55,2.76,54.5,53.0,37.9,91.0,1.43,1.0,2.43,1.4,2.39
vs Leeds United,29,26.9,47.5,38,418,3420,38.0,78,59,73,5,5,74,3,2.05,1.55,3.61,1.92,3.47,70.1,66.4,48.1,114.5,1.85,1.27,3.11,1.75,3.01
vs Leicester City,28,26.8,47.9,38,418,3420,38.0,58,36,51,7,9,60,0,1.53,0.95,2.47,1.34,2.29,61.0,54.2,38.7,92.9,1.6,1.02,2.62,1.43,2.44
vs Liverpool,27,26.7,36.7,38,418,3420,38.0,25,18,25,0,0,63,3,0.66,0.47,1.13,0.66,1.13,34.3,34.3,27.3,61.5,0.9,0.72,1.62,0.9,1.62
vs Manchester City,26,26.9,31.5,38,418,3420,38.0,26,23,25,1,1,68,3,0.68,0.61,1.29,0.66,1.26,27.2,26.4,21.2,47.6,0.71,0.56,1.27,0.69,1.25
vs Manchester Utd,29,27.0,47.1,38,418,3420,38.0,54,41,51,3,5,48,1,1.42,1.08,2.5,1.34,2.42,54.5,50.8,37.8,88.5,1.44,0.99,2.43,1.34,2.33
vs Newcastle Utd,29,26.8,60.1,38,418,3420,38.0,60,43,55,5,6,75,3,1.58,1.13,2.71,1.45,2.58,55.4,51.5,39.2,90.7,1.46,1.03,2.49,1.35,2.39
vs Norwich City,28,26.8,57.5,38,418,3420,38.0,82,57,73,9,12,62,2,2.16,1.5,3.66,1.92,3.42,77.0,68.1,50.1,118.2,2.03,1.32,3.34,1.79,3.11
vs Southampton,25,26.8,52.1,38,418,3420,38.0,65,47,63,2,2,64,1,1.71,1.24,2.95,1.66,2.89,58.6,57.3,43.0,100.3,1.54,1.13,2.67,1.51,2.64
vs Tottenham,25,26.8,48.0,38,418,3420,38.0,39,29,37,2,2,83,6,1.03,0.76,1.79,0.97,1.74,39.4,37.9,28.2,66.1,1.04,0.74,1.78,1.0,1.74
vs Watford,30,26.8,59.7,38,418,3420,38.0,74,56,68,6,7,64,1,1.95,1.47,3.42,1.79,3.26,66.6,61.3,48.0,109.3,1.75,1.26,3.02,1.61,2.88
vs West Ham,25,26.8,52.2,38,418,3420,38.0,49,38,47,2,6,49,3,1.29,1.0,2.29,1.24,2.24,51.0,46.4,34.0,80.5,1.34,0.89,2.24,1.22,2.12
vs Wolves,26,26.7,50.4,38,418,3420,38.0,42,23,33,9,10,90,3,1.11,0.61,1.71,0.87,1.47,60.3,52.7,38.4,91.1,1.59,1.01,2.6,1.39,2.4
