Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arsenal,2,38.0,61,5,1,13,1,61.8,0.3,1.8,0.05,265,634,41.8,1083,144,41.6,38.2,284,64.8,49.3,279,16,5.7,32,0.84,14.9
vs Aston Villa,3,38.0,52,3,0,8,2,49.4,0.3,-0.6,-0.02,215,503,42.7,878,163,39.6,37.2,263,58.9,47.3,341,21,6.2,28,0.74,14.9
vs Brentford,3,38.0,48,6,0,7,2,48.6,0.31,2.6,0.07,240,649,37.0,898,129,54.5,44.4,236,67.8,51.2,335,33,9.9,34,0.89,15.7
vs Brighton,2,38.0,42,4,0,6,2,42.2,0.28,2.2,0.06,195,552,35.3,872,181,44.5,39.0,279,58.8,47.2,342,23,6.7,29,0.76,15.3
vs Burnley,2,38.0,34,1,1,6,2,34.3,0.29,2.3,0.06,221,647,34.2,1091,184,44.5,39.0,255,63.1,49.4,377,32,8.5,28,0.74,14.9
vs Chelsea,2,38.0,76,8,1,9,1,71.1,0.32,-3.9,-0.1,256,651,39.3,966,164,48.1,41.3,289,64.4,50.3,330,27,8.2,25,0.66,13.2
vs Crystal Palace,2,38.0,50,6,1,3,0,45.2,0.28,-4.8,-0.13,255,588,43.4,894,136,50.8,41.0,236,56.8,46.2,327,24,7.3,29,0.76,15.6
vs Everton,2,38.0,43,6,0,6,1,41.5,0.29,-0.5,-0.01,187,463,40.4,934,188,34.4,35.3,278,51.1,45.3,293,21,7.2,26,0.68,14.3
vs Leeds United,2,38.0,42,5,1,8,0,41.3,0.26,-0.7,-0.02,247,608,40.6,1009,184,39.2,37.6,310,68.4,51.2,300,21,7.0,36,0.95,15.7
vs Leicester City,2,38.0,62,2,1,7,0,56.6,0.34,-5.4,-0.14,219,568,38.6,946,166,44.8,38.7,233,61.8,48.5,236,12,5.1,22,0.58,14.2
vs Liverpool,2,38.0,94,7,0,19,0,86.0,0.34,-8.0,-0.21,270,809,33.4,1012,173,54.2,43.0,350,74.3,55.7,371,27,7.3,37,0.97,13.7
vs Manchester City,2,38.0,99,7,0,18,3,89.5,0.35,-6.5,-0.17,306,821,37.3,1085,166,51.1,40.8,398,67.1,50.1,355,24,6.8,19,0.5,12.3
vs Manchester Utd,1,38.0,57,3,1,5,1,48.6,0.26,-7.4,-0.2,232,657,35.3,1025,163,48.2,39.9,268,60.8,48.7,290,23,7.9,24,0.63,14.0
vs Newcastle Utd,3,38.0,44,3,4,7,3,41.7,0.28,0.7,0.02,233,552,42.2,867,155,45.0,38.2,252,64.3,48.8,292,22,7.5,28,0.74,16.2
vs Norwich City,2,38.0,23,3,0,3,2,27.6,0.24,6.6,0.17,189,440,43.0,847,171,36.8,35.6,232,55.2,45.5,268,18,6.7,37,0.97,15.7
vs Southampton,3,38.0,43,4,4,7,2,45.6,0.27,4.6,0.12,263,602,43.7,1045,145,43.6,39.4,246,59.3,48.3,320,18,5.6,38,1.0,15.2
vs Tottenham,1,38.0,69,5,1,7,6,68.0,0.34,5.0,0.13,211,578,36.5,933,170,45.9,39.8,238,63.0,48.1,278,20,7.2,28,0.74,14.4
vs Watford,2,38.0,34,1,0,6,1,37.2,0.28,4.2,0.11,178,449,39.6,909,156,35.6,34.7,249,50.2,43.6,291,35,12.0,33,0.87,16.2
vs West Ham,2,38.0,60,4,1,9,2,50.2,0.32,-7.8,-0.2,194,484,40.1,953,160,34.4,34.9,300,52.0,43.5,396,28,7.1,20,0.53,14.3
vs Wolves,2,38.0,38,1,1,4,3,36.0,0.27,1.0,0.03,179,457,39.2,852,156,40.1,37.0,233,49.4,43.7,263,20,7.6,38,1.0,15.8
