Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,27,38.0,47,418,141,33.7,11.0,3.71,0.1,0.3,17.1,16,5,6,47.1,42.6,0.1,-0.1,-0.6
vs Aston Villa,31,38.0,52,474,145,30.6,12.47,3.82,0.1,0.33,16.8,22,4,6,49.1,44.5,0.1,2.9,3.5
vs Brentford,29,38.0,54,496,173,34.9,13.05,4.55,0.1,0.28,17.5,22,5,5,49.1,45.3,0.09,4.9,3.7
vs Brighton,26,38.0,44,476,145,30.5,12.53,3.82,0.09,0.28,17.9,21,3,4,45.6,42.6,0.09,-1.6,-1.6
vs Burnley,23,38.0,51,601,172,28.6,15.82,4.53,0.08,0.27,17.1,16,5,5,56.7,52.9,0.09,-5.7,-6.9
vs Chelsea,26,38.0,32,334,108,32.3,8.79,2.84,0.08,0.24,17.5,11,6,6,36.0,31.9,0.1,-4.0,-5.9
vs Crystal Palace,24,38.0,44,443,141,31.8,11.66,3.71,0.09,0.29,17.2,19,3,4,41.0,38.0,0.09,3.0,3.0
vs Everton,33,38.0,61,521,184,35.3,13.71,4.84,0.11,0.32,16.9,19,2,2,54.5,53.0,0.1,6.5,6.0
vs Leeds United,29,38.0,78,575,219,38.1,15.13,5.76,0.13,0.33,16.5,23,5,5,70.1,66.4,0.12,7.9,6.6
vs Leicester City,28,38.0,58,556,181,32.6,14.63,4.76,0.09,0.28,15.6,15,7,9,61.0,54.2,0.1,-3.0,-3.2
vs Liverpool,27,38.0,25,302,105,34.8,7.95,2.76,0.08,0.24,16.6,13,0,0,34.3,34.3,0.12,-9.3,-9.3
vs Manchester City,26,38.0,26,239,85,35.6,6.29,2.24,0.1,0.29,16.7,8,1,1,27.2,26.4,0.11,-1.2,-1.4
vs Manchester Utd,29,38.0,54,507,177,34.9,13.34,4.66,0.1,0.29,17.0,14,3,5,54.5,50.8,0.1,-0.5,0.2
vs Newcastle Utd,29,38.0,60,527,162,30.7,13.87,4.26,0.1,0.34,16.9,23,5,6,55.4,51.5,0.1,4.6,3.5
vs Norwich City,28,38.0,82,622,212,34.1,16.37,5.58,0.12,0.34,16.4,17,9,12,77.0,68.1,0.11,5.0,4.9
vs Southampton,25,38.0,65,493,180,36.5,12.97,4.74,0.13,0.35,15.5,11,2,2,58.6,57.3,0.12,6.4,5.7
vs Tottenham,25,38.0,39,494,133,26.9,13.0,3.5,0.07,0.28,16.7,10,2,2,39.4,37.9,0.08,-0.4,-0.9
vs Watford,30,38.0,74,556,180,32.4,14.63,4.74,0.12,0.38,16.3,16,6,7,66.6,61.3,0.11,7.4,6.7
vs West Ham,25,38.0,49,544,159,29.2,14.32,4.18,0.09,0.3,16.8,12,2,6,51.0,46.4,0.09,-2.0,0.6
vs Wolves,26,38.0,42,503,157,31.2,13.24,4.13,0.07,0.21,16.8,22,9,10,60.3,52.7,0.11,-18.3,-19.7
